SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500323,2025-12-02T00:00:00,OKC @ GSW,W,35.55,13,21,0.619,5,6,0.833,7,10,0.7,0,3,3,4,0,1,0,1,2,6,38,10,50.6,0,0,52.0,1,1,1,1,9,3,8,10,1,5,4,15,10,23,9,15,17,21,23,13,13,15,11,12,3,11,13,3,1,10,1,35:33,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500305,2025-11-30T00:00:00,OKC @ POR,W,35.81333333333333,8,15,0.533,0,3,0.0,10,12,0.833,1,3,4,5,3,1,0,0,3,10,26,2,38.3,0,0,37.0,1,1,1,1,5,20,18,17,25,17,25,6,7,16,4,15,12,15,2,13,13,1,20,3,20,20,23,3,1,23,1,35:49,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500075,2025-11-28T00:00:00,OKC vs. PHX,W,35.71666666666667,10,20,0.5,3,5,0.6,14,17,0.824,0,3,3,8,1,1,0,1,2,11,37,8,54.6,0,0,53.0,1,1,1,1,7,13,9,18,3,10,8,3,2,18,9,15,17,4,14,13,13,15,11,2,4,15,9,3,1,8,1,35:43,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500064,2025-11-26T00:00:00,OKC vs. MIN,W,36.71666666666667,12,19,0.632,1,2,0.5,15,17,0.882,0,6,6,6,1,3,0,0,3,8,40,12,64.2,0,0,59.0,1,1,1,1,4,6,12,9,18,23,11,2,2,14,9,4,6,12,14,1,13,1,20,6,2,10,2,3,1,2,1,36:43,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500280,2025-11-23T00:00:00,OKC vs. POR,W,30.0,13,18,0.722,2,3,0.667,9,9,1.0,2,3,5,7,1,2,0,0,3,7,37,27,58.5,0,0,55.0,1,1,1,1,13,3,15,4,11,17,7,11,13,1,1,15,7,8,14,5,13,1,20,10,4,3,6,3,1,4,1,30:00,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500055,2025-11-21T00:00:00,OKC @ UTA,W,30.15,9,14,0.643,3,3,1.0,10,12,0.833,0,2,2,8,2,1,1,1,1,9,31,14,49.4,0,0,48.0,1,1,1,1,12,17,19,7,3,17,1,6,7,16,9,20,20,4,8,13,4,15,5,5,11,9,15,3,1,15,1,30:09,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500261,2025-11-19T00:00:00,OKC vs. SAC,W,35.56666666666667,12,24,0.5,1,3,0.333,8,10,0.8,2,6,8,3,3,2,0,0,0,8,33,9,50.1,0,0,49.0,1,1,1,1,8,6,5,18,18,17,14,12,10,19,1,4,3,24,2,5,13,1,1,6,9,13,14,3,1,14,1,35:34,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500247,2025-11-17T00:00:00,OKC @ NOP,W,28.933333333333334,5,9,0.556,3,5,0.6,10,10,1.0,1,1,2,8,3,3,1,0,3,6,23,32,46.4,0,0,44.0,1,1,1,1,20,24,23,13,3,10,8,6,10,1,4,23,20,4,2,1,4,1,20,12,21,1,18,3,1,18,1,28:56,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500229,2025-11-15T00:00:00,OKC @ CHA,W,29.433333333333334,13,19,0.684,3,4,0.75,4,5,0.8,0,4,4,7,1,2,0,0,1,5,33,21,53.3,0,0,51.0,1,1,1,1,16,3,12,6,3,16,6,19,19,19,9,9,12,8,14,5,13,1,5,17,9,7,11,3,1,11,1,29:26,1
2025-26,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,Oklahoma City Thunder,0022500222,2025-11-12T00:00:00,OKC vs. LAL,W,29.383333333333333,10,18,0.556,2,7,0.286,8,9,0.889,0,5,5,9,1,2,0,0,1,5,30,25,54.5,0,0,50.0,1,1,1,1,17,13,15,13,11,3,20,12,13,11,9,7,7,3,14,5,13,1,5,17,14,4,10,3,1,13,1,29:23,1
