PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1631260,AJ Green,AJ,1610612749,MIL,26.0,23,10,13,0.435,680.4266666666666,86,172,0.5,79,159,0.497,19,24,0.792,1,66,67,49,19,13,3,4,65,33,270,27,452.9,0,0,497.0,1,139,409,291,37,115,132,135,2,15,41,215,220,202,422,112,166,121,192,185,257,203,477,155,97,126,133,146,17,109,1
1642358,AJ Johnson,AJ,1610612764,WAS,21.0,9,0,9,0.0,43.43333333333333,2,12,0.167,0,3,0.0,3,4,0.75,2,4,6,4,2,0,0,4,3,3,7,-17,18.2,0,0,17.0,361,468,320,468,420,451,418,477,416,403,416,371,378,259,393,425,422,394,403,444,409,203,46,397,445,310,448,146,17,448,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,368.315,82,154,0.532,28,63,0.444,52,60,0.867,19,58,77,17,18,10,3,5,24,44,244,165,382.9,2,0,392.0,303,139,88,54,209,125,152,92,123,162,59,75,83,98,139,136,137,284,199,230,257,243,217,103,115,12,169,66,17,156,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,14,12,2,0.857,217.58166666666668,36,86,0.419,24,59,0.407,20,23,0.87,2,11,13,17,11,5,1,3,19,19,116,77,164.1,0,0,182.0,282,86,62,37,293,265,254,334,154,172,100,204,225,95,393,372,384,284,268,314,339,163,186,238,247,62,311,146,17,289,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,334.56,54,147,0.367,31,83,0.373,31,39,0.795,17,32,49,17,8,9,3,10,27,38,170,-43,282.3,0,0,291.0,341,437,355,464,227,202,165,407,98,114,163,136,137,197,163,254,242,284,313,245,257,367,239,131,180,388,236,146,17,222,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,11,10,1,0.909,289.905,57,123,0.463,27,68,0.397,8,11,0.727,10,27,37,24,13,7,8,4,25,9,149,91,261.4,0,0,267.0,341,139,24,34,253,197,200,237,129,150,113,312,310,291,244,275,277,234,261,272,132,203,227,325,206,48,249,146,17,235,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,20,7,13,0.35,442.7816666666667,80,173,0.462,29,81,0.358,16,19,0.842,31,36,67,35,26,17,6,4,48,17,205,-93,380.9,0,0,382.0,113,226,409,333,158,133,131,239,115,118,197,238,253,131,67,234,166,184,126,114,164,203,408,253,154,453,171,146,17,164,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,15,9,6,0.6,243.74833333333333,17,31,0.548,1,3,0.333,12,20,0.6,21,34,55,3,11,5,26,3,29,21,47,3,199.5,0,0,168.0,261,164,197,171,278,346,369,74,386,403,246,267,245,378,123,241,221,407,268,314,15,163,254,221,344,219,284,146,17,302,1
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,5,4,1,0.8,16.916666666666668,2,2,1.0,0,0,0.0,2,2,1.0,1,1,2,0,1,1,0,0,4,1,6,-5,10.4,0,0,10.0,423,315,24,44,460,451,473,1,416,450,416,398,415,1,422,455,455,462,426,414,409,1,59,439,453,260,465,146,17,464,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,22,21,1,0.955,587.8233333333334,119,255,0.467,25,73,0.342,67,77,0.87,13,64,77,81,35,34,6,10,46,75,330,214,628.9,1,0,593.0,10,1,24,24,85,63,59,228,145,138,229,49,56,94,201,118,137,58,83,7,164,367,393,38,56,3,62,96,17,66,1
