PTS_lag1,PTS_lag2,PTS_lag3,PTS_lag4,PTS_lag5,PTS_lag6,PTS_lag7,REB_lag1,REB_lag2,REB_lag3,REB_lag4,REB_lag5,REB_lag6,REB_lag7,AST_lag1,AST_lag2,AST_lag3,AST_lag4,AST_lag5,AST_lag6,AST_lag7,STL_lag1,STL_lag2,STL_lag3,STL_lag4,STL_lag5,STL_lag6,STL_lag7,BLK_lag1,BLK_lag2,BLK_lag3,BLK_lag4,BLK_lag5,BLK_lag6,BLK_lag7,TOV_lag1,TOV_lag2,TOV_lag3,TOV_lag4,TOV_lag5,TOV_lag6,TOV_lag7,FG3M_lag1,FG3M_lag2,FG3M_lag3,FG3M_lag4,FG3M_lag5,FG3M_lag6,FG3M_lag7,FG_PCT_lag1,FG_PCT_lag2,FG_PCT_lag3,FG_PCT_lag4,FG_PCT_lag5,FG_PCT_lag6,FG_PCT_lag7
7.0,12.0,15.0,2.0,0.0,8.0,12.0,4.0,9.0,3.0,11.0,9.0,4.0,7.0,0.0,3.0,4.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.4,0.357,0.75,0.167,0.0,0.286,0.333
2.0,7.0,12.0,15.0,2.0,0.0,8.0,5.0,4.0,9.0,3.0,11.0,9.0,4.0,1.0,0.0,3.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.143,0.4,0.357,0.75,0.167,0.0,0.286
12.0,2.0,7.0,12.0,15.0,2.0,0.0,6.0,5.0,4.0,9.0,3.0,11.0,9.0,1.0,1.0,0.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.4,0.143,0.4,0.357,0.75,0.167,0.0
7.0,12.0,2.0,7.0,12.0,15.0,2.0,9.0,6.0,5.0,4.0,9.0,3.0,11.0,1.0,1.0,1.0,0.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,0.273,0.4,0.143,0.4,0.357,0.75,0.167
11.0,7.0,12.0,2.0,7.0,12.0,15.0,5.0,9.0,6.0,5.0,4.0,9.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,0.333,0.273,0.4,0.143,0.4,0.357,0.75
17.0,11.0,7.0,12.0,2.0,7.0,12.0,6.0,5.0,9.0,6.0,5.0,4.0,9.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.636,0.333,0.273,0.4,0.143,0.4,0.357
10.0,17.0,11.0,7.0,12.0,2.0,7.0,11.0,6.0,5.0,9.0,6.0,5.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.3,0.636,0.333,0.273,0.4,0.143,0.4
8.0,10.0,17.0,11.0,7.0,12.0,2.0,5.0,11.0,6.0,5.0,9.0,6.0,5.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.273,0.3,0.636,0.333,0.273,0.4,0.143
11.0,8.0,10.0,17.0,11.0,7.0,12.0,3.0,5.0,11.0,6.0,5.0,9.0,6.0,4.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.3,0.273,0.3,0.636,0.333,0.273,0.4
5.0,11.0,8.0,10.0,17.0,11.0,7.0,6.0,3.0,5.0,11.0,6.0,5.0,9.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.222,0.3,0.273,0.3,0.636,0.333,0.273
12.0,5.0,11.0,8.0,10.0,17.0,11.0,2.0,6.0,3.0,5.0,11.0,6.0,5.0,2.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.429,0.222,0.3,0.273,0.3,0.636,0.333
20.0,12.0,5.0,11.0,8.0,10.0,17.0,7.0,2.0,6.0,3.0,5.0,11.0,6.0,2.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.538,0.429,0.222,0.3,0.273,0.3,0.636
4.0,20.0,12.0,5.0,11.0,8.0,10.0,3.0,7.0,2.0,6.0,3.0,5.0,11.0,3.0,2.0,2.0,1.0,4.0,5.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.143,0.538,0.429,0.222,0.3,0.273,0.3
